"","df_m.full_address","df.town","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"7517","465, SEGAR ROAD, BUKIT PANJANG, SINGAPORE","BUKIT PANJANG","465, SEGAR ROAD, BUKIT PANJANG, SINGAPORE",1.3863048,103.7718644,1.3863048,1.386643,103.7718644,103.7720808
"7518","650, SENJA LINK, BUKIT PANJANG, SINGAPORE","BUKIT PANJANG","650, SENJA LINK, SINGAPORE",1.386194,103.7634043,1.3858365,1.386194,103.7634043,103.7636496
"7519","652, SENJA LINK, BUKIT PANJANG, SINGAPORE","BUKIT PANJANG","652, SENJA LINK, SINGAPORE",1.386194,103.7634043,1.3858365,1.386194,103.7634043,103.7636496
"7520","607, SENJA ROAD, BUKIT PANJANG, SINGAPORE","BUKIT PANJANG","607, SENJA ROAD, SINGAPORE",1.3843713,103.7605154,1.3842769,1.384611,103.7603207,103.7605345
"7521","614, SENJA ROAD, BUKIT PANJANG, SINGAPORE","BUKIT PANJANG","614, SENJA ROAD, SINGAPORE",1.3843713,103.7605154,1.3842769,1.384611,103.7603207,103.7605345
"7522","622, SENJA ROAD, BUKIT PANJANG, SINGAPORE","BUKIT PANJANG","622, SENJA ROAD, SINGAPORE",1.3843713,103.7605154,1.3842769,1.384611,103.7603207,103.7605345
"7523","651A, JURONG WEST STREET 61, JURONG WEST, SINGAPORE","JURONG WEST","651A, JURONG WEST STREET 61, JURONG WEST, SINGAPORE",1.334749,103.6989619,1.334749,1.3348771,103.6989579,103.6989619
"7524","634, JURONG WEST STREET 65, JURONG WEST, SINGAPORE","JURONG WEST","634, JURONG WEST STREET 65, JURONG WEST, SINGAPORE",1.3404394,103.7009537,1.3404394,1.3405415,103.7009384,103.7009537
"7525","6, BEACH ROAD, KALLANG/WHAMPOA, SINGAPORE","KALLANG/WHAMPOA","6, BEACH ROAD, SINGAPORE",1.3039772,103.864415472447,1.3038517,1.3040923,103.8640993,103.8647317
"7526","126C, EDGEDALE PLACEAINS, PUNGGOL, SINGAPORE","PUNGGOL","126C, EDGEDALE PLAINS, PUNGGOL, SINGAPORE",1.4015463,103.9153359,1.4008685,1.4020432,103.9148496,103.9156861
